Catalog#,Artist,Title,Label,Format,Genre,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Purchase Price,Want Price
HRR002V,Kayo Dot / Bloody Panda,Kayo Dot / Bloody Panda,Holy Roar Records,"12"", Gre",,,2006,919009,Uncategorized,44017.22639,,,,,
LM 79,Këkht Aräkh,Pale Swordsman ,Livor Mortis,"LP, Album, Ltd",['Black Metal'],,2021,20507959,Uncategorized,44670.84306,,,,21.61,
SBR-3039,Këkht Aräkh,Night & Love,Sacred Bones Records,"Cass, Album",,,2022,25415287,Uncategorized,45210.81736,,,,,
STS293LP,Kelly Lee Owens,Kelly Lee Owens,Smalltown Supersound,"LP, Album + CD, Album","['Techno', 'Ambient', 'Downtempo', 'Synth-pop']",,2017,9987858,Uncategorized,44051.20069,,,,13,
EPR 005,Keys To The Astral Gates And Mystic Doors,Keys To The Astral Gates And Mystic Doors,Empty Pit Recordings,Cass,,,2023,27761565,Uncategorized,45210.80486,,,,,
ITR 166,Kid Congo & The Pink Monkey Birds,Dracula Boots,In The Red Recordings,"LP, Album","['Garage Rock', 'Psychedelic Rock']",,2009,1744147,Uncategorized,44017.23194,,,,,
EGKC 3,King Crimson,Lizard,Editions EG,"LP, Album, RE, Gat",['Prog Rock'],,1987,3549352,Uncategorized,44023.82639,,,,10,
"BDC021, ET10",Koldovstvo (2),"Ни царя, ни бога = Ni Tsarya, Ni Boga ","Babylon Doom Cult Records, Extraconscious Records","LP, Album, Ltd, RE, Gol",,,2021,19590358,Uncategorized,44403.70278,,,,,
CUT 081,Korgonthurus,Marras,Woodcut Records,"Cass, Album",,,2020,14892820,Uncategorized,45210.82153,,,,,
"DATA092, BLR010",Korine,The Night We Raise,"Data Airlines, Born Losers Records","LP, Album, Ltd","['Synth-pop', 'New Wave', 'Post-Punk', 'Darkwave']",,2020,15882596,Uncategorized,44157.19167,,,,18,
P2-027,Krallice,Demonic Wealth,P2,"CD, Album",['Black Metal'],,2021,18675490,Uncategorized,44332.93194,,,,11,
ELD-023,Krallice,Krallice,Gilead Media,"2xLP, Album, Ltd",,,2009,1758736,Uncategorized,45210.77708,,,,,
none,Krallice,Porous Resonance Abyss,Not On Label (Krallice Self-released),"Cass, Album",,,2023,27423072,Uncategorized,45210.79861,,,,,
p2-029,Krallice,Crystalline Exhaustion,P2,"Cass, Album, Ltd, Cle",,,2022,22824305,Uncategorized,45210.79861,,,,,
none,Lace Shawl,The Secret Botanist,Grime Stone Records,"Cass, Ltd",,,2021,19320568,Uncategorized,45210.78542,,,,,
DPR-27MC,Lamp Of Murmuur,Melancholy Howls In Ceremonial Penitence,Death Prayer Records,"Cass, Album, RE, Red",['Black Metal'],,2022,22383457,Uncategorized,44670.84375,,,,10.86,
none,Lamp Of Murmuur,Submission And Slavery,Black Gangrene Productions,"Cass, Album",['Black Metal'],,2021,20633692,Uncategorized,44670.84306,,,,8.5,
AE016,Landon Caldwell & Nicholas Yeck-Stauffer,Unity In Isolation,Astral Editions,Cass,,,2021,17532760,Uncategorized,44405.6125,,,,,
none,Life (69),Coma Garden,Larry Records,"Cass, Album, Ltd",,,2022,22497125,Uncategorized,45210.81875,,,,,
none,Life (69),Demo Five,Larry Records,"Cass, EP, Ltd",,,2022,23804258,Uncategorized,45210.81875,,,,,
RR7298,Locrian,Infinite Dissolution,Relapse Records,"LP, Album, Blu","['Experimental', 'Black Metal', 'Ambient', 'Post Rock']",,2015,7242186,Uncategorized,44006.10278,,,,,
NNF403,Lorena Alvarez & Alejandro Palacios,Paisajes Para Torcer Al Reloj,Not Not Fun Records,Cass,,,2023,27885336,Uncategorized,45210.8,,,,,
SP 1250,Low,Double Negative,Sub Pop,"LP, Album, Ltd, Cle","['Ambient', 'Leftfield', 'Shoegaze']",,2018,12508766,Uncategorized,44032.82083,,,,,
MMC001,Luis Vasquez,A Body Of Errors,2Mondi Collective,"LP, Album, Ltd, Red","['Experimental', 'Industrial', 'Post-Punk', 'Drone', 'Dark Ambient']",,2021,17784868,Uncategorized,44342.73611,,,,22,
"Eisen068, FE-06",Lustre (2),Night Spirit,"Eisenwald Tonschmiede, Fallen Empire","LP, Album, Ltd, Num, Blu","['Black Metal', 'Ambient']",,2013,4243861,Uncategorized,44004.77431,,,,25,
NVP016,Lustre (2),Wonder,Nordvis Produktion,"CD, Album",,,2013,4905921,Uncategorized,45210.81389,,,,,
NVP019,Lustre (2),Blossom,Nordvis Produktion,"CD, Album",,,2015,6916895,Uncategorized,45210.81389,,,,,
NVP141,Lustre (2),A Glimpse Of Glory,Nordvis Produktion,"CD, Album",,,2022,23235914,Uncategorized,45210.81319,,,,,
NVP150,Lustre (2),A Thirst For Summer Rain,Nordvis Produktion,"CD, Album",,,2022,24334895,Uncategorized,45210.81389,,,,,
none,Lycopolis (2),Amduat,Snow Wolf,Cass,,,2022,25619623,Uncategorized,45210.81667,,,,,
HAUSMO 127,M. Geddes Gengras,"Expressed, I Noticed Silence",Hausu Mountain,"Cass, Album, C38",,,2022,23894756,Uncategorized,45210.8125,,,,,
"MR 144, SLR038, FDCR-3",Malevich,Our Hollow,"Middle-Man Records, Sludgelord Records, Fremen Death Commando Records","LP, Album","['Grindcore', 'Black Metal']",,2019,14414352,Uncategorized,44157.19375,,,,10,
Thrill-539,Manslaughter 777,World Vision Perfect Harmony,Thrill Jockey,"LP, Album, Ltd, Pea","['Dub', 'Breakbeat', 'Electro', 'Rhythmic Noise', 'Industrial', 'Hip Hop', 'Jungle', 'Techno']",,2021,17922847,Uncategorized,44276.55069,,,,19,
Thrill-539,Manslaughter 777,World Vision Perfect Harmony,Thrill Jockey,LP,"['Dub', 'Breakbeat', 'Electro', 'Rhythmic Noise', 'Industrial', 'Hip Hop', 'Jungle', 'Techno']",,2021,18069346,Uncategorized,44350.01458,,,,19,
"IVR151LP, ET-11",Mare Cognitum,Solar Paroxysm,"I, Voidhanger Records, Extraconscious Records","2xLP, Album, Ltd, Ora",['Atmospheric Black Metal'],,2021,17914735,Uncategorized,44297.65347,,,,32,
FE-58,Mare Cognitum + Spectral Lore,Sol,Fallen Empire,"2xLP, Album, RM, Gam",,,2018,11747055,Uncategorized,45210.82431,,,,,
NNA050,Matt Carlson,All Moments,NNA Tapes,LP,['Experimental'],,2012,3917267,Uncategorized,44068.20833,,,,3.33,
CAD3430,Merchandise (2),After The End,4AD,"LP, Album, Ltd, Gre",['Indie Rock'],,2014,6024108,Uncategorized,44032.82153,,,,,
CAD3660,Merchandise (2),A Corpse Wired For Sound,4AD,"LP, Album, Ltd, Blu",['Post-Punk'],,2016,9085254,Uncategorized,44032.82153,,,,,
PFLP003,Merkaba (4),Bones Of The Sacred Forest,Pagan Flames Productions,"LP, Album, Ltd","['Black Metal', 'Ethereal']",,2014,5636351,Uncategorized,44403.70208,,,,,
OWS30,Metavari,Absurda-Music Reimagined In The Short Films Of David Lynch,One Way Static Records,"LP, Album, RSD, Ltd, Cle","['Synth-pop', 'Synthwave']",,2019,13276122,Uncategorized,44017.25069,,,,10.08,
OWS20,Metavari,Symmetri,One Way Static Records,"LP, Ltd","['Synth-pop', 'Synthwave']",,2017,11019145,Uncategorized,44017.25139,,,,8.4,
SBR-228,Moon Duo,Stars Are The Light,Sacred Bones Records,"LP, Album, Blu","['Indie Rock', 'Psychedelic Rock']",,2019,14240636,Uncategorized,44051.19931,,,,15.65,
RBR040,Moonknight,Discernment,Rising Beast Recordings,"Cass, EP, Ltd, RE, Yel",,,2021,19346860,Uncategorized,45210.81597,,,,,
RBR049,Moonknight,L'Eclisse,Rising Beast Recordings,"Cass, Album, Ltd",,,2021,22916057,Uncategorized,45210.81597,,,,,
AV451CS,Moonlight Sorcery,Piercing Through The Frozen Eternity,Avantgarde Music,"Cass, EP",,,2022,22808744,Uncategorized,45210.82083,,,,,
Tower 0015,Moonlight Sword,Elfenwinter,Labyrinth Tower,Cass,,,2022,23455916,Uncategorized,45210.79583,,,,,
none,Moonlight Sword,Imperial Dragoon Kommando,Oakheart Production,"Cass, EP, Ltd",,,2023,28491652,Uncategorized,45210.79514,,,,,
RIF-039,Moonlight Sword,Elven Blood,Rabauw,Cass,,,2022,25619908,Uncategorized,45210.79722,,,,,
ATROCITY ALTAR-78,Mourning Chant,Hateful Immortality,Atrocity Altar,Cass,,,2022,25747900,Uncategorized,45165.78819,,,,,
archive twenty-one,Muslimgauze,Drugsherpa,Staalplaat,"CD, Album, Ltd",,,2013,5188327,Uncategorized,45210.81111,,,,,
BBIW-004,Mycorrhizae,The Great Filtration,Big Bovine Industrial Wastes,"Cass, Album, Ltd",,,2023,27947307,Uncategorized,45210.80278,,,,,
9981568,Nachtmystium,Silencing Machine,Century Media,"CD, Album, Ltd, Dig","['Black Metal', 'Psychedelic Rock', 'Experimental', 'Industrial']",,2012,3786580,Uncategorized,44276.55486,,,,,
9983261,Nachtmystium,The World We Left Behind,Century Media,"2xLP, Album","['Black Metal', 'Heavy Metal', 'Experimental', 'Sludge Metal']",,2014,5951221,Uncategorized,44017.21667,,,,,
WOLF 082LP,Nachtmystium,Resilient,"Prophecy Productions, Lupus Lounge","12"", EP, Ltd, Whi",['Black Metal'],,2018,12876955,Uncategorized,44017.21597,,,,,
FR-083,Nameless Mist,Nameless Mist,Fólkvangr Records,"Cass, Album",['Black Metal'],,2021,19737085,Uncategorized,45157.56944,,,,,
none,Narvarog,Narvarog,Grime Stone Records,"Cass, S/Sided, EP, Ltd, Num",,,2021,18488464,Uncategorized,45210.78819,,,,,
Tower 0004,Narvarog,Fury And Triumph,Labyrinth Tower,Cass,,,2021,21148381,Uncategorized,45210.78819,,,,,
none,Necrosferatul,Ancient Bloodlines Mean Nothing,Grime Stone Records,"CD, Ltd",,,2022,24343823,Uncategorized,45210.79097,,,,,
"LPSEEDS4, BMG14004V",Nick Cave & The Bad Seeds,Your Funeral... My Trial,"Mute, BMG","2x12"", Album, RE, RM, 180",['Alternative Rock'],,2014,6429755,Uncategorized,44068.20972,,,,,
HDR - 052-3,NONE (13),None,Hypnotic Dirge Records,"CD, Album, Ltd, RP","['Atmospheric Black Metal', 'Depressive Black Metal']",,0,15237157,Uncategorized,44350.01389,,,,7,
HDR 064-3,NONE (13),Life Has Gone On Long Enough,Hypnotic Dirge Records,"CD, Album, Ltd, RP","['Atmospheric Black Metal', 'Depressive Black Metal', 'Doom Metal']",,0,15795726,Uncategorized,44350.01389,,,,7,
HDR-070-2,NONE (13),Damp Chill Of Life,Hypnotic Dirge Records,"CD, Album, Ltd, RP","['Atmospheric Black Metal', 'Depressive Black Metal']",,2020,17044872,Uncategorized,44350.01458,,,,7,
DDR106,Nortfalke,Moonjeie,Dungeons Deep Records,"Cass, Album, Ltd, RE",,,2022,23185160,Uncategorized,45210.82014,,,,,
SPIN122,Obsequiae,The Palms Of Sorrowed Kings,20 Buck Spin,"LP, Album","['Black Metal', 'Folk Metal']",,2019,14418719,Uncategorized,44018.84028,,,,17.99,
none,Olatom Amespïrïa,Demo 3,Not On Label (Olatom Amespïrïa Self-released),Cass,,,2023,27932340,Uncategorized,45210.80139,,,,,
none,Old Nick (10),3 Bowls Of Porridge: An Very Full Collection,Grime Stone Records,"3xCass, Album + Box, Comp, Ltd",['Black Metal'],,2021,18980797,Uncategorized,44350.00486,,,,30,
none,Old Nick (10),A New Generation Of Vampiric Conspiracies,Grime Stone Records,"CD, Album, Ltd","['Black Metal', 'Dungeon Synth']",,2021,18041473,Uncategorized,44350.00486,,,,12,
LURE_032,Old Nick (10),A New Generation Of Vampiric Conspiracies,Phantom Lure,"2xLP, Album, Dra","['Black Metal', 'Dungeon Synth']",,2021,20255575,Uncategorized,44475.44167,,,,12,
none,Old Nick (10),Iam Vampire Castle,Grime Stone Records,"CD, Album, Ltd",,,2022,22728866,Uncategorized,45210.77917,,,,,
none,Old Nick (10),Iam Vampire Castle,Grime Stone Records,"Cass, Album, Ltd",,,2021,21269284,Uncategorized,45210.77917,,,,,
none,Old Nick (10),Flying Ointment Remastered - Special Edition,Grime Stone Records,"CD, EP, Ltd, S/Edition",,,2022,22742282,Uncategorized,45210.77986,,,,,
none,Old Nick (10),Crisp Winter Dawn of My Night Moon,Grime Stone Records,"CD, EP, Ltd",,,2022,23874161,Uncategorized,45210.77986,,,,,
none,Old Nick (10),Crisp Winter Dawn of My Night Moon,Grime Stone Records,"Cass, EP, Ltd",,,2022,21769264,Uncategorized,45210.77986,,,,,
none,Old Nick (10),Ghost O'Clock,Grime Stone Records,"Cass, EP",,,2022,24463394,Uncategorized,45210.77986,,,,,
NAIL022,Old Nick (10),Forest of Grief,His Wounds,"LP, Ltd",,,2021,17275750,Uncategorized,45210.77847,,,,,
LURE_079,Old Nick (10),Ghost O'Clock,Phantom Lure,"LP, EP, Tra",,,2023,26373089,Uncategorized,45210.77986,,,,,
AV457CS,Olhava,Reborn,Avantgarde Music,"Cass, Album, Ltd",,,2022,24093353,Uncategorized,45210.81806,,,,,
SFT 031,Oneohtrix Point Never,Drawn And Quartered,Software (2),"LP, Comp","['Ambient', 'Experimental', 'Abstract']",,2013,4561839,Uncategorized,44051.20069,,,,17.98,
SFT029,Oneohtrix Point Never,Zones Without People,Software (2),"LP, Album, RE","['New Age', 'Abstract', 'Drone']",,2013,4545992,Uncategorized,44051.20069,,,,17.98,
WARPlp295,Oneohtrix Point Never,Age Of,Warp Records,"LP, Album","['Experimental', 'IDM', 'Glitch', 'Ambient']",,2018,12075906,Uncategorized,44004.77986,,,,17.99,
WARPLP318O,Oneohtrix Point Never,Magic Oneohtrix Point Never,Warp Records,"2xLP, Album, Ltd, Ora","['Abstract', 'Ambient', 'Experimental', 'Synth-pop', 'New Age']",,2020,16136301,Uncategorized,44157.19375,,,Patch included.,27.99,
"NB 5437-1, 5437-1",Oranssi Pazuzu,Mestarin Kynsi,"Nuclear Blast, Nuclear Blast","LP, Ora + LP, S/Sided, Etch, Ora + Album, Ltd",['Black Metal'],,2020,15129157,Uncategorized,44004.77917,,,,,
BR069,Panopticon (6),...And Again Into The Light,Bindrune Recordings,"2xLP, Album, Clo + CD, Album","['Atmospheric Black Metal', 'Folk Metal']",,2021,18990964,Uncategorized,44375.74236,,,,,
"BR055LP, NVP082LP",Panopticon (6),...On The Subject Of Mortality,"Bindrune Recordings, Nordvis Produktion","LP, Album, RE, Blu","['Atmospheric Black Metal', 'Progressive Metal', 'Folk Metal', 'Neofolk']",,2018,12937879,Uncategorized,44017.24861,,,,,
"PFCD005, none",Panopticon (6),Collapse,"Pagan Flames Productions, Lundr Records","CD, Album","['Atmospheric Black Metal', 'Progressive Metal', 'Folk Metal']",,2009,1973752,Uncategorized,44350.00556,,,,,
KUNSTHALL 056,Paysage D'Hiver,Im Wald,Kunsthall Produktionen,"4xLP, Album + Box","['Black Metal', 'Ambient']",,2020,15541773,Uncategorized,44188.45417,,,,45.08,
"Kunsthall 065, KUNSTHALL 066",Paysage D'Hiver,Geister,"Kunsthall Produktionen, Kunsthall Produktionen","2xLP, Album, Gat","['Black Metal', 'Ambient']",,2021,18373753,Uncategorized,44314.41111,,,,34.99,
OLE1549LP,Perfume Genius,Set My Heart On Fire Immediately,Matador,"2xLP, Album",['Art Rock'],,2020,15311509,Uncategorized,44017.21181,,,,,
FR75,Planning For Burial,Below The House,Flenser Records,"LP, Album, RP, Jau","['Shoegaze', 'Sludge Metal', 'Experimental']",,2019,13291066,Uncategorized,44006.10347,,,,17.5,
CCA072,Portrayal Of Guilt / Soft Kill,Portrayal Of Guilt / Soft Kill,Closed Casket Activities,"7"", Ltd, Whi",,,2019,14650792,Uncategorized,44076.96944,,,,,
SILK130,Precipitation,Glass Horizon,100% Silk,"LP, Whi","['Ambient', 'New Age', 'House', 'Electro']",,2022,24263306,Uncategorized,45061.73194,,,,17,
SKULL-09,Prideswallower,Lifeswallower,Brightskull Records,"7"", EP",['Punk'],,2007,3264424,Uncategorized,44004.78333,,,,,
HAUSMO 92,Pulse Emitter,Swirlings,Hausu Mountain,"LP, Album","['Ambient', 'Modern Classical', 'New Age', 'Drone', 'Experimental', 'Sound Art']",,2020,14630631,Uncategorized,44068.20764,,,,18,
Immune 026,Pulse Emitter,Crater Lake,Immune,"LP, Album, Blu","['Drone', 'Experimental', 'Synth-pop']",,2013,5094138,Uncategorized,44068.20764,,,,12,
HAUSMO 128,Pulse Emitter,Dusk,Hausu Mountain,"Cass, Album, C44",,,2022,25120690,Uncategorized,45210.8125,,,,,
BBIW-002,Pure Imp,Pure Imp,Big Bovine Industrial Wastes,"Cass, Ltd",,,2023,27947283,Uncategorized,45210.80347,,,,,
1,Radagast (2),An Earthly Sacrement,"Grime Stone Records, Pseudocorp","Cass, S/Sided",,,2021,20667949,Uncategorized,45210.78056,,,,,
TTT012,Ringarë,Sorrow Befell,Tempest Tome Tapes,"Cass, Album, Ltd","['Atmospheric Black Metal', 'Black Metal']",,2020,16477551,Uncategorized,44377.88333,,,,9,
none,Saphileaum,Ganbana,Not Not Fun Records,"Cass, Album",,,2022,24527531,Uncategorized,45210.8,,,,,
"BEWITH077LP, KPM2127",Seahawks,Island Visions,"Be With Records, KPM Music","LP, Album","['Ambient', 'Downtempo', 'New Age']",,2020,15132797,Uncategorized,44051.19931,,,,29.39,
CSN117,Seahawks,Eyes Of The Moon,Cascine,"LP, Album","['Ambient', 'Downtempo', 'New Age']",,2019,13383814,Uncategorized,44017.21667,,,,,
Canto XIV,Sëht,Kenvassã Ejarmä Enva Valar​ã​ã,Canti Eretici Productions,"Cass, EP, Ltd",,,2023,26110114,Uncategorized,45210.80833,,,,,
LT-0085,Shadowfax,Watercourse Way,Windham Hill Records,"Cass, Album, RE, Dol","['Fusion', 'Jazz-Rock', 'Prog Rock']",,1985,5311187,Uncategorized,44364.47917,,,,,
WT-1038,Shadowfax,The Dreams Of Children,Windham Hill Records,"Cass, Album, Dol","['New Age', 'Contemporary Jazz']",,1984,8013082,Uncategorized,44364.45556,,,,,
TG211,Shellac,1000 Hurts,Touch And Go,"LP, Album + CD, Album + Box","['Alternative Rock', 'Post-Punk', 'Math Rock']",,2000,598989,Uncategorized,44017.22708,,,,,
solcd017,Shores Of Ladon,Witterung,Sol Records (4),"CD, Album, Ltd",,,2021,20935894,Uncategorized,45210.77569,,,,,
solcd020,Shores Of Ladon,Heimkehr,Sol Records (4),"CD, EP, Ltd",,,2021,20935939,Uncategorized,45210.77569,,,,,
AUM028/29/30,Shrimp Boat,Something Grand,AUM Fidelity,"3xCD, Comp + Box",['Alternative Rock'],,2004,1255494,Uncategorized,44297.65694,,,,,
DC282,Six Organs Of Admittance,School Of The Flower,Drag City,"LP, Album","['Folk Rock', 'Acoustic']",,2005,594929,Uncategorized,44017.21111,,,,,
DC453,Six Organs Of Admittance,Asleep On The Floodplain,Drag City,"LP, Album","['Folk Rock', 'Acoustic', 'Psychedelic Rock']",,2011,2738775,Uncategorized,44017.21111,,,,,
RHD-033U KNO,SK U Kno,U KNO,No 'Label' (2),"LP, MiniAlbum","['Abstract', 'Downtempo', 'Ambient']",,2018,11749233,Uncategorized,44017.24514,,,,15.99,
RHD-033U KNO,SK U Kno,U KNO,No 'Label' (2),"LP, MiniAlbum","['Abstract', 'Downtempo', 'Ambient']",,2018,11749233,Uncategorized,44017.24514,,,,15.99,
SofO-077,Snowing,That Time I Sat In A Pile Of Chocolate,Square Of Opposition Records,"LP, Comp",['Emo'],,2016,8010876,Uncategorized,44017.23819,,,,,
32,Soft Kill,Not Quite Dracula Music,Cercle Social Records,"Cass, Num",['Post-Punk'],,2021,19089772,Uncategorized,44362.71667,,,,,
TARTALB011,Space Ghost (2),Aquarium Nightclub,Tartelet Records,LP,"['House', 'Ambient', 'Funk']",,2019,14314968,Uncategorized,44017.24583,,,,21.99,
"ET-04, IVR125LP",Spectral Lore & Mare Cognitum,Wanderers: Astrology Of The Nine,"Entropic Recordings, I, Voidhanger Records","3xLP, Album, Ltd, RE, Red",,,2020,16586790,Uncategorized,44218.45903,,,,40,
PFL255LP,Spectral Wound,A Diabolic Thirst,Profound Lore Records,"LP, Album",['Black Metal'],,2021,18322984,Uncategorized,44670.84444,,,,,
ARLP094,Spektr (2),Cypher,Agonia Records,"LP, Album, Ltd, Whi","['Black Metal', 'Industrial']",,2013,4893519,Uncategorized,44017.23958,,,,,
SBR-243,Spellling,The Turning Wheel,Sacred Bones Records,"Cass, Album, Ora",['Folk'],,2021,19405582,Uncategorized,44384.54028,,,,,
DAIS119,SRSQ,Unreality,Dais Records,"LP, Album, Ltd, Cle","['Dream Pop', 'Shoegaze', 'Ethereal']",,2018,12756347,Uncategorized,44004.77917,,,,17.25,
FR91,Street Sects,The Kicking Mule,Flenser Records,"LP, Album, Ltd, Sil","['Punk', 'Industrial']",,2018,12729076,Uncategorized,44006.10069,,,,34.5,
PFL253LP,Suffering Hour,The Cyclic Reckoning,Profound Lore Records,"LP, Album","['Black Metal', 'Death Metal']",,2021,17386057,Uncategorized,44297.65486,,,,,
SA022,Sun Araw,The Inner Treaty,Sun Ark Records,"CD, Album, Dig","['Dub', 'Psychedelic Rock']",,2012,4066022,Uncategorized,44017.24306,,,,3,
WOODSIST045,Sun Araw,Off Duty / Boat Trip,Woodsist,"CD, Comp, Ltd","['Psychedelic Rock', 'Experimental']",,2010,2483434,Uncategorized,44017.24306,,,,3,
SA012,Sun Araw,Ancient Romans,Sun Ark Records,"2xLP, Album, Whi","['Abstract', 'Psychedelic Rock']",,2011,3070089,Uncategorized,44006.10139,,,,,
ECL-060,Sun City Girls,Fruit Of The Womb / Polite Deception,Eclipse Records (3),"2xLP, Comp, Ltd, RE",['Experimental'],,2009,1641894,Uncategorized,44017.22083,,,,,
SO 27,Sunburned Hand Of The Man,Rare Wood,Spirit Of Orr,"CD, Album, Dig","['Tribal', 'Psychedelic Rock']",,2004,712553,Uncategorized,44362.80764,,,,1,
STS 134 LP,Sunburned Hand Of The Man,Fire Escape,Smalltown Supersound,"2xLP, Album, Ltd","['Abstract', 'Noise', 'Psychedelic Rock', 'Experimental', 'Post Rock']",,2009,1759861,Uncategorized,44017.20972,,,,,
TLR-133,Sunburned Hand Of The Man,Pick A Day To Die,Three Lobed Recordings,LP,"['Psychedelic Rock', 'Experimental', 'Blues Rock']",,2021,17586322,Uncategorized,44362.80764,,,,,
"SUNN100, sunn100",Sunn O))),Monoliths & Dimensions,"Southern Lord, Southern Lord","CD, Album","['Doom Metal', 'Experimental', 'Drone']",,2009,1777200,Uncategorized,44297.65764,,,,1,
"SUNN²⁵, sunn25",Sunn O))),White1,"Southern Lord, Southern Lord","CD, Album","['Drone', 'Doom Metal', 'Ambient']",,2003,498669,Uncategorized,44297.65764,,,,1,
"SUNN³¹, sunn31",Sunn O))),White2,"Southern Lord, Southern Lord","CD, Album","['Doom Metal', 'Experimental', 'Ambient']",,2004,443977,Uncategorized,44297.65764,,,,1,
"SUNN50, sunn50",Sunn O))),Black One,"Southern Lord, Southern Lord","CD, Album","['Black Metal', 'Doom Metal', 'Drone', 'Experimental', 'Dark Ambient']",,2005,535757,Uncategorized,44297.65764,,,,1,
sunn62,Sunn O))) & Boris (3),Altar,Southern Lord,"2xCD, Album, Ltd, Num",,,2006,818145,Uncategorized,44297.65764,,,,,
none,Sunrise Patriot Motion,Black Fellflower Stream,Sibir Records,"Cass, Album",,,2022,23573885,Uncategorized,45210.81806,,,,,
"NRR-051, none",Svisselsant,Svisselsant,"Night Rhythms Recordings, Big Bovine Industrial Wastes","Cass, EP",,,2021,20710012,Uncategorized,45210.80347,,,,,
YG63,Swans,Leaving Meaning.,Young God Records,"2xLP, Album",['Experimental'],,2019,14289346,Uncategorized,44017.21319,,,,25,
MEX202,Tamaryn,Cranekiss,Mexican Summer,"LP, Album","['Indie Rock', 'Shoegaze', 'Indie Pop']",,2015,7404435,Uncategorized,44017.25278,,,,,
DAIS142,Tempers,Private Life,Dais Records,"LP, Album, Ltd, Yel","['Darkwave', 'Synth-pop']",,2019,14340943,Uncategorized,44017.22153,,,,20.99,
MFM028,Terekke,Improvisational Loops,Music From Memory,"LP, Album",['Ambient'],,2018,11425393,Uncategorized,44017.21528,,,,20,
"KOMPAKT 241, KOM 241",The Field,Looping State Of Mind,"Kompakt, Kompakt","2x12"", Album + CD, Album","['Shoegaze', 'Minimal', 'Tech House']",,2011,3150416,Uncategorized,44017.24236,,,,10,
runt30,The For Carnation,Promised Works,Runt,"CD, Comp, RM, Dig","['Lo-Fi', 'Post Rock']",,1997,587594,Uncategorized,44017.25833,,,,5,
tg214cd,The For Carnation,The For Carnation,Touch And Go,"CD, Album",['Post Rock'],,2000,212603,Uncategorized,44017.25764,,,,1,
"87520-1, none",The Garden (6),U Want The Scoop?,"Epitaph, Burger Records","12"", S/Sided, EP, Etch, Ora","['Punk', 'Experimental']",,2017,10415433,Uncategorized,44025.1,,,,,
APE 6001,The Gun Club,Miami,Animal Records,"LP, Album, Ter","['Blues Rock', 'Punk']",,1982,5008649,Uncategorized,44017.23333,,,Gold Stamped Promo,,
SFTRI 742,The Gun Club,The Las Vegas Story,Sympathy For The Record Industry,"LP, Album, RE, RM",['Alternative Rock'],,2004,6272946,Uncategorized,44004.78333,,,,,
SFTRI741,The Gun Club,Death Party,Sympathy For The Record Industry,"CD, EP, RE, RM","['Garage Rock', 'Indie Rock']",,2004,1013535,Uncategorized,44004.78333,,,,,
FK004,The Oracle (10),Damnatio Memoriae,Forbidden Keep,"Cass, Album",,,2022,21975976,Uncategorized,45210.82222,,,,,
COOKCD757,The Orb,Abolition Of The Royal Familia,Cooking Vinyl,"CD, Album","['Ambient', 'House', 'Dub']",,2020,14877557,Uncategorized,44357.93056,,,,12,
"PODR002LP, WEBB575LP",The Quiet Temple,The Quiet Temple,"The Point Of Departure Recording Company, Wichita","LP, Album","['Post Rock', 'Contemporary Jazz']",,2019,13924183,Uncategorized,44017.24514,,,,18.99,
Vàn333,The Ruins Of Beverast,The Thule Grimoires,Ván,"CD, Album","['Black Metal', 'Doom Metal', 'Atmospheric Black Metal']",,2021,17208832,Uncategorized,44357.64722,,,,10,
CATLP157,The Sun Ra Arkestra,Jazz in Silhouette,Not Now Music,"LP, Album, RE, 180","['Bop', 'Hard Bop', 'Free Jazz']",,2019,13941074,Uncategorized,44017.21458,,,,,
ESR 507,The Sun Ra Arkestra,Atlantis,Saturn Research,"LP, Mono, Ltd, RE, RM, 180",['Space-Age'],,0,1545258,Uncategorized,44017.21389,,,,,
TPE-082,The Warlocks,Heavy Deavy Skull Lover,Tee Pee Records,"LP, Album, Ltd, Pin","['Alternative Rock', 'Psychedelic Rock', 'Shoegaze']",,2007,1389774,Uncategorized,44017.2125,,,,,
Noise39V,The Web (4),Clydotorous Scrotodhendron,Noise Pollution,"12""",['Experimental'],,2010,3440155,Uncategorized,44068.20903,,,,,
ROBO116,Thou (2),Peasant,Robotic Empire,"2x12"", Album, RE, RM",['Sludge Metal'],,2017,10603020,Uncategorized,44004.77569,,,,,
SBR-205,Thou (2),Magus,Sacred Bones Records,"2xLP, Album, Ltd, Mag","['Doom Metal', 'Sludge Metal']",,2018,12444340,Uncategorized,44357.91806,,,,,
"Lord119, lord119, lord119lp",Thou (2),Summit,"Southern Lord, Southern Lord, Southern Lord","LP, Album, Whi",['Doom Metal'],,2010,2595858,Uncategorized,44004.77292,,,,,
BFB 24,Till (27),Land Of Plenty,Born For Burning,"CD, Album, Ltd",,,2021,20545966,Uncategorized,45210.81181,,,,,
VERM-019,Till (27),Monument to Man's Frailty,Vermignosis,Cass,,,2022,25532905,Uncategorized,45210.81181,,,,,
CAD3614,Tim Hecker,Love Streams,4AD,"2xLP, Album","['Abstract', 'Ambient']",,2016,8346774,Uncategorized,44051.19931,,,,20.68,
